Id_Regione;Id_Unità;Provincia;Comune;Categoria;Tipologia;Descrizione materiali;A - Friabilità;B - Uso pubblico;C - Accessibilità;D - Presenza di confinamento;I1 - Quantità di materiale stimato;Peso stimato friabile (kg);Peso stimato compatto (kg);I2 - Presenza di un programma di manutenzione e controllo;I3 - Attività;I4 - Presenza di cause che creano o favoriscono la dispersione di fibre;I5 - Concentrazione di fibre aerodisperse (ff/l);I6 - Area di estensione del sito (m2);Effettiva area perimetrale (m2);I7 - Superficie esposta allaria;Effettiva superficie con amianto friabile (m2);Effettiva superficie con amianto compatto (m2);I8 - Coinvolgimento del sito in lavori di urbanizzazione;I9 - Stato di conservazione delle strutture;I10 - Tempo trascorso dalla dismissione (anni);Data dismissione (gg-mm-aaaa);I11 - Tipologia di amianto presente;I12 - Dati epidemiologici;I13 - Frequenza di utilizzo;I14 - Distanza dal centro urbano(m);Distanza dal centro urbano (km);I15 - Densità di popolazione;I16 - Età media dei soggetti frequentatori (anni);Tipo di bonifica;Tipo di intervento;Costi totali stimati dell’intervento (€);Fondi locali/regionali assegnati;Fondi da richiedere;Classe di priorità;Coefficiente di priorità;Punteggio mappatura;Coordinate X (WGS84-UTM fuso 32);Coordinate Y (WGS84-UTM fuso 32)
113;128;BZ;MERANO;2;Edifici residenziali;copertura;1;1;1;1;10;;4250;1;1;1;2;3;;5;0;250;1;5;1;;1;1;10;5;0;4;2;C;C;3749;0;3749;5;0,3;107,1;665801;5169664
113;130;BZ;MERANO;2;Edifici residenziali;copertura;1;1;1;1;15;;10200;1;1;1;2;5;;8;0;600;1;5;1;;1;1;10;5;0;4;2;C;C;8996;0;8996;5;0,3;125,1;664491;5170650
113;131;BZ;MERANO;2;Edifici residenziali;copertura;1;1;1;2,5;10;;3060;1;1;1;2;3;;5;0;180;1;30;1;;1;1;10;5;0;4;2;;;;0;;4;0,4;273;666610;5170135
113;132;BZ;MERANO;2;Edifici residenziali;copertura;1;1;1;2,5;15;;10200;1;1;1;2;5;;8;0;600;1;30;1;;1;1;10;5;0;4;2;;;;0;;4;0,4;315;664048;5170314
113;133;BZ;MERANO;2;Edifici residenziali;copertura;1;1;1;2,5;10;;3400;1;1;1;2;3;;5;0;200;1;5;1;;1;1;10;5;0;4;2;A;;2999;0;2999;4;0,4;213;664466;5170589
113;134;BZ;LANA;1;Edifici artigianali e di servizi;copertura;1;1;1;2,5;15;;18700;1;1;1;2;5;;8;0;1100;1;5;1;;1;1;10;3;0;2;2;;;;0;;4;0,4;196,2;666270;5166663
113;135;BZ;LANA;2;Edifici residenziali;copertura;1;1;1;1;15;;18700;1;1;1;2;5;;8;0;1100;1;30;1;;1;1;10;3;0,71;2;2;C;C;16493;0;16493;5;0,3;144,9;665979;5166177
113;136;BZ;LANA;1;Edifici industriali e loro pertinenze;copertura;1;1;1;2,5;15;;42500;1;1;1;2;9;;8;0;2500;1;5;1;;1;1;10;3;0;2;2;;;;0;;4;0,4;213;665889;5166176
113;138;BZ;LANA;2;Edifici residenziali;copertura;1;1;1;1;15;;17000;1;1;1;2;5;;8;0;1000;1;30;1;;1;1;10;3;0,47;2;2;C;C;14994;0;14994;5;0,3;144,9;666124;5166364
113;139;BZ;LANA;2;Edifici residenziali;copertura;1;1;1;1;15;;76500;1;1;1;2;5;;8;0;4500;1;30;1;;1;1;10;3;0,31;2;2;C;C;67473;0;67473;5;0,3;144,9;666249;5166463
113;140;BZ;LANA;2;Edifici residenziali;copertura;1;1;1;1;15;;40800;1;1;1;2;5;;8;0;2400;1;30;1;;1;1;10;3;0,32;2;2;C;C;35986;0;35986;5;0,3;144,9;666275;5166432
113;141;BZ;LANA;2;Edifici residenziali;copertura;1;1;1;1;15;;10200;1;1;1;2;5;;8;0;600;1;30;1;;1;1;10;3;0,47;2;2;C;C;8996;0;8996;5;0,3;144,9;666105;5166371
113;142;BZ;CERMES;2;Edifici residenziali;copertura;1;1;1;1;15;;153000;1;1;1;2;9;;10;0;9000;1;30;1;;1;1;10;3;0,31;2;2;C;C;134946;0;134946;5;0,3;155,7;666093;5166666
113;143;BZ;LANA;2;Edifici residenziali;copertura;1;1;1;2,5;10;;850;1;1;1;2;3;;5;0;50;1;30;1;;1;1;10;3;0;2;2;;;;0;;4;0,4;214,2;665902;5165653
113;144;BZ;LANA;2;Edifici residenziali;copertura;1;1;1;2,5;10;;2550;1;1;1;2;3;;5;0;150;1;5;1;;1;1;10;3;0;2;2;;;;0;;4;0,4;154,2;666319;5165298
