"Id_Regione";"ID_Unita";"Provincia";"Comune";"Categoria";"Descrizione materiali";"Tipologia";"A - Friabilità";"B - Uso pubblico";"C - Accessibilità";"D - Presenza di confinamento";"I1 - Quantità di materiale stimato (Kg)";"Peso stimato friabile (kg)";"Peso stimato compatto (kg)";"I2 - Presenza di un programma di manutenzione e controllo";"I3 - Attività";"I4 - Dispersione di fibre";"I5 - Concentrazione di fibre aerodisperse (ff/l)";"I6 - Area di estensione del sito (m2)";"Effettiva area perimetrale (m2)";"I7 - Superficie esposta all’aria (m2)";"Effettiva superficie con amianto friabile  (m2)";"Effettiva superficie con amianto compatto (m2)";"I8 - Coinvolgimento del sito in lavori di urbanizzazione";"I9 - Stato di conservazione delle strutture edili";"I10 - Tempo trascorso dalla dismissione (anni)";"Data dismissione (gg-mm-aaaa)";"I11 - Tipologia di amianto presente";"I12 - Dati epidemiologici";"I13 - Frequenza di utilizzo";"I14 - Distanza dal centro urbano (m)";"Distanza dal centro urbano (km)";"I15 - Densità di popolazione";"I16 - Età media dei soggetti frequentatori (anni)";"Tipo di bonifica";"Tipo di intervento";"Costi Totali stimati dell'intervento (€)";"Fondi locali/regionali assegnati";"Fondi da richiedere";"Punteggio Mappatura";"Classe di priorità";"Coefficiente di priorità";"Punteggio Mappatura";"Coordinate X (WGS84-UTM fuso 32)";"Coordinate Y (WGS84-UTM fuso 32)"
3;"2T_0126";"Aosta";"SARRE";2;;"Edifici artigianali e di servizio";1;1;1;2,5;10;0;3930;10;1;5;2;3;;5;"0";231;1;30;1;;1;1;20;3;;2;2;0;0;6930;0;6930;269;4;0,4;269,4;366468;5065308
3;"2T_0128";"Aosta";"SARRE";2;;"Edifici residenziali";1;1;1;2,5;10;0;3895;10;1;5;2;3;;5;"0";229;1;5;1;;1;1;20;5;;2;2;2;3;0;0;0;226;4;0,4;226,2;366643;5065774
3;"2T_0129";"Aosta";"SARRE";2;;"Edifici residenziali";1;1;1;2,5;10;0;3759;10;1;5;2;3;;5;"0";221;1;5;1;;1;1;20;5;;2;2;0;0;6630;0;6630;226;4;0,4;226,2;366561;5065788
3;"2T_0130";"Aosta";"SARRE";2;;"Edifici residenziali";1;1;1;2,5;10;0;5750;10;1;5;2;3;;5;"0";338;1;5;1;;1;1;20;3;;2;2;0;0;10140;0;10140;209;4;0,4;209,4;366379;5065707
3;"2T_0131";"Aosta";"SARRE";2;;"Edifici residenziali";1;1;1;2,5;10;0;2952;10;1;5;2;3;;5;"0";174;1;30;1;;3;1;20;3;;2;2;2;1;5220;0;5220;275;4;0,4;275,4;366301;5065701
3;"2T_0133";"Aosta";"SARRE";2;;"Edifici residenziali";1;1;1;2,5;10;0;2740;10;1;5;2;3;;5;"0";161;1;5;1;;1;1;20;5;;2;2;0;0;4830;0;4830;226;4;0,4;226,2;366274;5065593
3;"2T_0134";"Aosta";"SARRE";2;;"Edifici residenziali";1;1;2,5;2,5;10;0;3213;10;1;5;2;3;;5;"0";189;1;5;1;;1;1;20;5;;2;2;0;0;5670;0;5670;563;3;0,7;562,8;366355;5065542
3;"2T_0136";"Aosta";"QUART";2;;"Grande distribuzione commerciale";1;2,5;1;2,5;15;0;43505;10;1;5;2;5;;8;"0";2559;1;5;1;;1;1;20;3;;2;2;2;3;0;0;0;336;4;0,4;336;373320;5066543
3;"2T_0137";"Aosta";"QUART";2;;"Grande distribuzione commerciale";1;2,5;1;2,5;15;0;45246;10;1;5;2;5;;8;"0";2662;1;5;1;;1;1;20;3;;2;2;2;3;0;0;0;336;4;0,4;336;373379;5066554
3;"2T_0138";"Aosta";"QUART";2;;"Grande distribuzione commerciale";1;2,5;1;2,5;15;0;43393;10;1;5;2;5;;8;"0";2553;1;5;1;;1;1;20;3;;2;2;2;3;0;0;0;336;4;0,4;336;373430;5066556
