,provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta,geo,coordinate,latitudine,longitudine
30,LI,COLLESALVETTI,ENI SPA Div. R&M Raffineria di Livorno,via Aurelia,7,IMPIANTO INDUSTRIALE,,COLLESALVETTI via Aurelia,"(43.5760083, 10.3484354)",43.5760083,10.3484354
31,LI,LIVORNO,DOW ITALIA srl,via Galvani,34,IMPIANTO INDUSTRIALE,,LIVORNO via Galvani,"(43.5785685, 10.3124405)",43.5785685,10.3124405
32,LI,LIVORNO,RFI S.P.A. - UNITA' TERRITORIALE LIVORNO,via masi,8,caserma POLFER,250,LIVORNO via masi,"(43.5547078, 10.3375555)",43.5547078,10.3375555
33,LI,LIVORNO,INFERMIERE DELL'ADDOLORATA,BORGO S. JACOPO,,,0,LIVORNO BORGO S. JACOPO,"(43.5417607, 10.3044961)",43.5417607,10.3044961
34,LI,LIVORNO,POSTE ITALIANE S.p.A.,VIA DEL MARE,85,Ufficio aperto al pubblico,116,LIVORNO VIA DEL MARE,"(43.5169848, 10.3207502)",43.5169848,10.3207502
35,LI,LIVORNO,POSTE ITALIANE S.p.A.,VIA DEL LITORALE - QUERCIANELLA,332/A,Ufficio aperto al pubblico,56,LIVORNO VIA DEL LITORALE - QUERCIANELLA,,,
36,LI,LIVORNO,ASD ANTIGNANO CALCIO,VIA SERNESI,10,Impianto sportivo,0,LIVORNO VIA SERNESI,"(43.5015945, 10.3246123)",43.5015945,10.3246123
37,LI,LIVORNO,PROVINCIA DI LIVORNO,GARZELLI,11,Ufficio aperto al pubblico,900,LIVORNO GARZELLI,"(43.5173259, 10.3416259)",43.5173259,10.3416259
38,LI,LIVORNO,arpat,marradi,114,edificio per uffici e laboratori,0,LIVORNO marradi,"(43.5397597, 10.316681)",43.5397597,10.316681
39,LI,LIVORNO,D.O.C. Livorno SpA,via L. Da Vinci,37,IMPIANTO INDUSTRIALE,,LIVORNO via L. Da Vinci,,,
40,LI,LIVORNO,PROVINCIA DI LIVORNO,SCALI DELLE PIETRE,21,Autorimessa,410,LIVORNO SCALI DELLE PIETRE,"(43.5531001, 10.310016)",43.5531001,10.310016
42,LI,LIVORNO,raffineria eni,LOC. STAGNO.,,SITO DISMESSO,,LIVORNO LOC. STAGNO.,,,
43,LI,LIVORNO,REGIONE TOSCANA - SETTORE URTAT LIVORNO,VIA NARDINI,31,Ufficio aperto al pubblico,600,LIVORNO VIA NARDINI,"(43.4574463, 10.3681877)",43.4574463,10.3681877
44,LI,LIVORNO,enel,VIA SALVATORE ORLANDO,,SITO DISMESSO,,LIVORNO VIA SALVATORE ORLANDO,"(43.5597819, 10.3095477)",43.5597819,10.3095477
45,LI,MARCIANA,POSTE ITALIANE S.p.A.,CORSO PROCCHIO,,Ufficio aperto al pubblico,58,MARCIANA CORSO PROCCHIO,,,
46,LI,MARCIANA,POSTE ITALIANE - UFFICIO PROCCHIO,SPARTAIA,,,10,MARCIANA SPARTAIA,"(42.7871322, 10.2329235)",42.7871322,10.2329235
47,LI,MARCIANA MARINA,CAPITANERIA DI PORTO UFFICIO LOCALE MARITTIMO,P.LE AMMIRAGLIO BERNOTTI,2,Ufficio aperto al pubblico,80,MARCIANA MARINA P.LE AMMIRAGLIO BERNOTTI,,,
48,LI,PIOMBINO,PARROCCHIA SANTA MARIA DEL ROSARIO,borgata Cotone,2,Magazzino,55,PIOMBINO borgata Cotone,"(42.9358439, 10.5334592777)",42.9358439,10.5334592777
49,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
50,LI,PIOMBINO,PARROCCHIA SANT'ANTIMO,VIA XX SETTEMBRE,15,oratorio,0,PIOMBINO VIA XX SETTEMBRE,"(42.9224714, 10.5274697)",42.9224714,10.5274697
51,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
52,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
53,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
54,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
55,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
56,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
57,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
58,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
59,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
60,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
61,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
62,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
63,LI,PIOMBINO,SCUOLA ELEMENTARE DANTE ALIGHIERI,PIAZZA DANTE ALIGHIERI,1,Scuola,0,PIOMBINO PIAZZA DANTE ALIGHIERI,"(42.9269706, 10.5277202309)",42.9269706,10.5277202309
64,LI,PIOMBINO,DALMINE SPA,Ischia di Crociano,,IMPIANTO INDUSTRIALE,,PIOMBINO Ischia di Crociano,,,
65,LI,PIOMBINO,POSTE ITALIANE S.p.A.,VIA VOLTA,26,Ufficio aperto al pubblico,700,PIOMBINO VIA VOLTA,"(42.9254575, 10.5264682)",42.9254575,10.5264682
66,LI,PIOMBINO,POSTE ITALIANE S.p.A.,VIALE ETRURIA,72,Ufficio aperto al pubblico,53,PIOMBINO VIALE ETRURIA,"(42.9956208, 10.5339939)",42.9956208,10.5339939
67,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
68,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
69,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
70,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
71,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
72,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,,,
73,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
74,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
75,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
76,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
77,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
78,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
79,LI,PIOMBINO,LUCCHINI SIDERURGICA,viale Resistenza,2,IMPIANTO INDUSTRIALE,,PIOMBINO viale Resistenza,"(42.9296735, 10.5258399)",42.9296735,10.5258399
80,LI,PIOMBINO,COMUNE DI PIOMBINO,VIA P. GORI,,cimitero,0,PIOMBINO VIA P. GORI,"(42.9239753, 10.5307235)",42.9239753,10.5307235
81,LI,PIOMBINO,EDISON SPA,VIALE DELLA RESISTENZA,2,Impianto industriale,0,PIOMBINO VIALE DELLA RESISTENZA,"(42.9286634, 10.5282695)",42.9286634,10.5282695
82,LI,PIOMBINO,ARCELOR Piombino,via di Portovecchio,34,IMPIANTO INDUSTRIALE,,PIOMBINO via di Portovecchio,"(42.92807725, 10.5329602379)",42.92807725,10.5329602379
84,LI,PIOMBINO,DALMINE SPA,Ischia di Crociano,,IMPIANTO INDUSTRIALE,,PIOMBINO Ischia di Crociano,,,
85,LI,PIOMBINO,ARCELOR Piombino,via di Portovecchio,34,IMPIANTO INDUSTRIALE,,PIOMBINO via di Portovecchio,"(42.92807725, 10.5329602379)",42.92807725,10.5329602379
86,LI,PIOMBINO,DALMINE SPA,ISchia di Crociano,,IMPIANTO INDUSTRIALE,,PIOMBINO ISchia di Crociano,,,
87,LI,PIOMBINO,DALMINE SPA,Ischia di Crociano,,IMPIANTO INDUSTRIALE,,PIOMBINO Ischia di Crociano,,,
88,LI,PIOMBINO,ARCELOR Piombino,via di Portovecchio,34,IMPIANTO INDUSTRIALE,,PIOMBINO via di Portovecchio,"(42.92807725, 10.5329602379)",42.92807725,10.5329602379
89,LI,PIOMBINO,ARCELOR Piombino,via di Portovecchio,34,IMPIANTO INDUSTRIALE,,PIOMBINO via di Portovecchio,"(42.92807725, 10.5329602379)",42.92807725,10.5329602379
90,LI,PORTOFERRAIO,UFFICIO TERRITORIALE PER LA BIODIVERSITA',ISOLA DI MONTECRISTO,,POLLAIO,13,PORTOFERRAIO ISOLA DI MONTECRISTO,"(42.33217005, 10.3093398911)",42.33217005,10.3093398911
91,LI,PORTOFERRAIO,UFFICIO TERRITORIALE PER LA BIODIVERSITA',ISOLA DI MONTECRISTO,,LOCALE CALDAIA,14,PORTOFERRAIO ISOLA DI MONTECRISTO,"(42.33217005, 10.3093398911)",42.33217005,10.3093398911
92,LI,PORTOFERRAIO,pirelli re sgr spa-fondo spazio industriale,tesei,,SITO DISMESSO,,PORTOFERRAIO tesei,"(42.8111606, 10.3175526)",42.8111606,10.3175526
93,LI,PORTOFERRAIO,UFFICIO TERRITORIALE PER LA BIODIVERSITA',ISOLA DI MONTECRISTO,,CORRENTE,21,PORTOFERRAIO ISOLA DI MONTECRISTO,"(42.33217005, 10.3093398911)",42.33217005,10.3093398911
94,LI,ROSIGNANO MARITTIMO,POSTE ITALIANE S.p.A.,VIA EDUARDO DE FILIPPO,1,Ufficio aperto al pubblico,188,ROSIGNANO MARITTIMO VIA EDUARDO DE FILIPPO,,,
95,LI,ROSIGNANO MARITTIMO,SOLVAY CHIMICA ITALIA SPA,PIAVE,6,IMPIANTO INDUSTRIALE,,ROSIGNANO MARITTIMO PIAVE,"(43.3885358, 10.447564)",43.3885358,10.447564
96,LI,ROSIGNANO MARITTIMO,SOLVAY CHIMICA ITALIA SPA,PIAVE,6,IMPIANTO INDUSTRIALE,,ROSIGNANO MARITTIMO PIAVE,"(43.3885358, 10.447564)",43.3885358,10.447564
97,LI,ROSIGNANO MARITTIMO,SOLVAY CHIMICA ITALIA SPA,PIAVE,6,IMPIANTO INDUSTRIALE,,ROSIGNANO MARITTIMO PIAVE,"(43.3885358, 10.447564)",43.3885358,10.447564
98,LI,ROSIGNANO MARITTIMO,SOLVAY CHIMICA ITALIA SPA,PIAVE,6,IMPIANTO INDUSTRIALE,,ROSIGNANO MARITTIMO PIAVE,"(43.3885358, 10.447564)",43.3885358,10.447564
99,LI,ROSIGNANO MARITTIMO,POSTE ITALIANE S.p.A.,TRAVERSA LIVORNESE,14,Ufficio aperto al pubblico,78,ROSIGNANO MARITTIMO TRAVERSA LIVORNESE,"(43.4068078, 10.490881)",43.4068078,10.490881
100,LI,ROSIGNANO MARITTIMO,SOLVAY CHIMICA ITALIA SPA,PIAVE,6,IMPIANTO INDUSTRIALE,,ROSIGNANO MARITTIMO PIAVE,"(43.3885358, 10.447564)",43.3885358,10.447564
101,LI,ROSIGNANO MARITTIMO,SOLVAY CHIMICA ITALIA SPA,PIAVE,6,IMPIANTO INDUSTRIALE,,ROSIGNANO MARITTIMO PIAVE,"(43.3885358, 10.447564)",43.3885358,10.447564
102,LI,SAN VINCENZO,POSTE ITALIANE S.p.A.,VIA BISERNO,22,Ufficio aperto al pubblico,230,SAN VINCENZO VIA BISERNO,"(43.0927629, 10.5409979)",43.0927629,10.5409979
103,LI,SAN VINCENZO,RFI S.P.A. - UNITA' TERRITORIALE LIVORNO,NDEF aurelia nord,37,257+800,80,SAN VINCENZO NDEF aurelia nord,,,
104,LI,SASSETTA,STAZIONE CARABINIERI,VIA DI CASTAGNETO,84,Magazzino,60,SASSETTA VIA DI CASTAGNETO,"(43.1305829, 10.6444008)",43.1305829,10.6444008
105,LI,SASSETTA,POSTE ITALIANE S.p.A.,VIA GUERRAZZI,1p,Ufficio aperto al pubblico,125,SASSETTA VIA GUERRAZZI,,,
0,LU,ALTOPASCIO,COMUNE DI ALTOPASCIO,LC. CIMITERO,1/C,cimitero,0,ALTOPASCIO LC. CIMITERO,,,
1,LU,ALTOPASCIO,COVER COLORIFICIO CERAMICO SRL,di sibolla,38,IMPIANTO INDUSTRIALE,,ALTOPASCIO di sibolla,"(43.8248407, 10.7007966345)",43.8248407,10.7007966345
2,LU,ALTOPASCIO,COVER COLORIFICIO CERAMICO SRL,di sibolla,38,IMPIANTO INDUSTRIALE,,ALTOPASCIO di sibolla,"(43.8248407, 10.7007966345)",43.8248407,10.7007966345
3,LU,ALTOPASCIO,COVER COLORIFICIO CERAMICO SRL,di sibolla,38,IMPIANTO INDUSTRIALE,,ALTOPASCIO di sibolla,"(43.8248407, 10.7007966345)",43.8248407,10.7007966345
4,LU,ALTOPASCIO,COVER COLORIFICIO CERAMICO SRL,di sibolla,38,IMPIANTO INDUSTRIALE,,ALTOPASCIO di sibolla,"(43.8248407, 10.7007966345)",43.8248407,10.7007966345
5,LU,ALTOPASCIO,COVER COLORIFICIO CERAMICO SRL,di sibolla,38,IMPIANTO INDUSTRIALE,,ALTOPASCIO di sibolla,"(43.8248407, 10.7007966345)",43.8248407,10.7007966345
6,LU,ALTOPASCIO,COVER COLORIFICIO CERAMICO SRL,di sibolla,38,IMPIANTO INDUSTRIALE,,ALTOPASCIO di sibolla,"(43.8248407, 10.7007966345)",43.8248407,10.7007966345
7,LU,ALTOPASCIO,COVER COLORIFICIO CERAMICO SRL,di sibolla,38,IMPIANTO INDUSTRIALE,,ALTOPASCIO di sibolla,"(43.8248407, 10.7007966345)",43.8248407,10.7007966345
8,LU,ALTOPASCIO,COVER COLORIFICIO CERAMICO SRL,di sibolla,38,IMPIANTO INDUSTRIALE,,ALTOPASCIO di sibolla,"(43.8248407, 10.7007966345)",43.8248407,10.7007966345
9,LU,ALTOPASCIO,COVER COLORIFICIO CERAMICO SRL,di sibolla,38,IMPIANTO INDUSTRIALE,,ALTOPASCIO di sibolla,"(43.8248407, 10.7007966345)",43.8248407,10.7007966345
10,LU,ALTOPASCIO,COVER COLORIFICIO CERAMICO SRL,di sibolla,38,IMPIANTO INDUSTRIALE,,ALTOPASCIO di sibolla,"(43.8248407, 10.7007966345)",43.8248407,10.7007966345
11,LU,ALTOPASCIO,COVER COLORIFICIO CERAMICO SRL,di sibolla,38,IMPIANTO INDUSTRIALE,,ALTOPASCIO di sibolla,"(43.8248407, 10.7007966345)",43.8248407,10.7007966345
12,LU,ALTOPASCIO,COVER COLORIFICIO CERAMICO SRL,di sibolla,38,IMPIANTO INDUSTRIALE,,ALTOPASCIO di sibolla,"(43.8248407, 10.7007966345)",43.8248407,10.7007966345
13,LU,ALTOPASCIO,COVER COLORIFICIO CERAMICO SRL,di sibolla,38,IMPIANTO INDUSTRIALE,,ALTOPASCIO di sibolla,"(43.8248407, 10.7007966345)",43.8248407,10.7007966345
14,LU,ALTOPASCIO,COMUNE DI ALTOPASCIO,VIA FIRENZE,90,Magazzino,670,ALTOPASCIO VIA FIRENZE,"(43.8121368, 10.6859863)",43.8121368,10.6859863
15,LU,BAGNI DI LUCCA,POSTE ITALIANE S.p.A.,PIAZZA ADAMI - VILLA,,Ufficio aperto al pubblico,210,BAGNI DI LUCCA PIAZZA ADAMI - VILLA,,,
16,LU,BAGNI DI LUCCA,ALCE SPA,Via Privata Alce,1/2,IMPIANTO INDUSTRIALE,,BAGNI DI LUCCA Via Privata Alce,,,
17,LU,BAGNI DI LUCCA,ALCE SPA,Via Privata Alce,1/2,IMPIANTO INDUSTRIALE,,BAGNI DI LUCCA Via Privata Alce,,,
18,LU,BAGNI DI LUCCA,ALCE SPA,Via Privata Alce,1/2,IMPIANTO INDUSTRIALE,,BAGNI DI LUCCA Via Privata Alce,,,
19,LU,BAGNI DI LUCCA,ALCE SPA,Via Privata Alce,1/2,IMPIANTO INDUSTRIALE,,BAGNI DI LUCCA Via Privata Alce,,,
20,LU,BAGNI DI LUCCA,ALCE SPA,Via Privata Alce,1/2,IMPIANTO INDUSTRIALE,,BAGNI DI LUCCA Via Privata Alce,,,
21,LU,BAGNI DI LUCCA,ALCE SPA,Via Privata Alce,1/2,IMPIANTO INDUSTRIALE,,BAGNI DI LUCCA Via Privata Alce,,,
22,LU,BARGA,POSTE ITALIANE S.p.A.,PIAZZA DON MINZONI,,Ufficio aperto al pubblico,196,BARGA PIAZZA DON MINZONI,,,
23,LU,BARGA,PARROCCHIA DEL SACRO CUORE,VIA ROMA,,centrale terminca - prevenz_verniciato,0,BARGA VIA ROMA,"(44.0738907, 10.4776519)",44.0738907,10.4776519
24,LU,BARGA,Chiesa SS. Nome di Maria,VIA PROVINCIALE,,locale caldaia,6,BARGA VIA PROVINCIALE,"(44.0550961, 10.4871261)",44.0550961,10.4871261
25,LU,BORGO A MOZZANO,POSTE ITALIANE S.p.A.,VIA ROMA,15,Ufficio aperto al pubblico,210,BORGO A MOZZANO VIA ROMA,,,
26,LU,BORGO A MOZZANO,IMBALPAPER SPA,via Prov.le Ludovica,,IMPIANTO INDUSTRIALE,,BORGO A MOZZANO via Prov.le Ludovica,,,
27,LU,BORGO A MOZZANO,MONDIALCARTA SPA,Renaccio - Diecimo,,IMPIANTO INDUSTRIALE,,BORGO A MOZZANO Renaccio - Diecimo,,,
28,LU,BORGO A MOZZANO,CARTIERA LUCCHESE SPA,Z.I. BACCANELLA,,IMPIANTO INDUSTRIALE,,BORGO A MOZZANO Z.I. BACCANELLA,"(43.951442, 10.5040614)",43.951442,10.5040614
29,LU,BORGO A MOZZANO,CARTIERA LUCCHESE SPA,Z.I. BACCANELLA,,IMPIANTO INDUSTRIALE,,BORGO A MOZZANO Z.I. BACCANELLA,"(43.951442, 10.5040614)",43.951442,10.5040614
30,LU,BORGO A MOZZANO,CARTIERA LUCCHESE SPA,Z.I. BACCANELLA,,IMPIANTO INDUSTRIALE,,BORGO A MOZZANO Z.I. BACCANELLA,"(43.951442, 10.5040614)",43.951442,10.5040614
31,LU,CAMAIORE,soc. ravela srl-ex cartiera viareggio,VIA D. CAPANNE-LOC. DUCCINI,,SITO DISMESSO,,CAMAIORE VIA D. CAPANNE-LOC. DUCCINI,,,
32,LU,CAMAIORE,PARROCCHIA SACRO CUORE di GesÃ¹,PIAZZA SACRO CUORE,1,Luogo di culto,600,CAMAIORE PIAZZA SACRO CUORE,"(43.893574, 10.2288429)",43.893574,10.2288429
33,LU,CAMPORGIANO,POSTE ITALIANE S.p.A.,S.R. 45 - COLLETTO,,Ufficio aperto al pubblico,125,CAMPORGIANO S.R. 45 - COLLETTO,,,
34,LU,CAPANNORI,POSTE ITALIANE S.p.A.,VIA PAOLINELLI,,Ufficio aperto al pubblico,210,CAPANNORI VIA PAOLINELLI,"(43.8845153, 10.5534595)",43.8845153,10.5534595
35,LU,CAPANNORI,POSTE ITALIANE S.p.A.,VIA GIOMI,72,Ufficio aperto al pubblico,125,CAPANNORI VIA GIOMI,,,
36,LU,CAPANNORI,COMUNE DI CAPANNORI,VIA CARDINALE A. PACINI,,Ufficio aperto al pubblico,450,CAPANNORI VIA CARDINALE A. PACINI,,,
37,LU,CAPANNORI,COMUNE DI CAPANNORI,VIA SARZANESE VALDERA,446,Scuola,1500,CAPANNORI VIA SARZANESE VALDERA,,,
38,LU,CAPANNORI,COMUNE DI CAPANNORI,VIA DELLA CHIESA DI GRAGNANO,,Scuola,393,CAPANNORI VIA DELLA CHIESA DI GRAGNANO,"(43.8672134, 10.6193124)",43.8672134,10.6193124
39,LU,CAPANNORI,COMUNE DI CAPANNORI,VIA DI CARRAIA -TORINGO,,Magazzino,320,CAPANNORI VIA DI CARRAIA -TORINGO,,,
40,LU,CAPANNORI,COMUNE DI CAPANNORI,VIA DEGLI SCATENA,,Ufficio aperto al pubblico,2000,CAPANNORI VIA DEGLI SCATENA,,,
42,LU,CAPANNORI,COMUNE DI CAPANNORI,VIA DI VERGALLORO,,associazione culturale,198,CAPANNORI VIA DI VERGALLORO,"(43.8174819, 10.519482)",43.8174819,10.519482
43,LU,CAPANNORI,BANCA DEL MONTE DI LUCCA SPA,VIA DELL'ISOLA  - LUNATA,22,Magazzino,1330,CAPANNORI VIA DELL'ISOLA  - LUNATA,,,
44,LU,CAPANNORI,ARMA CARABINIERI,via COlombini,59,Ufficio aperto al pubblico,320,CAPANNORI via COlombini,"(43.8448839, 10.5742028)",43.8448839,10.5742028
45,LU,CASTELNUOVO DI GARFAGNANA,GEORGIA-PACIFIC ITALIA SRL,via E. Fermi,13,IMPIANTO INDUSTRIALE,,CASTELNUOVO DI GARFAGNANA via E. Fermi,,,
46,LU,CASTELNUOVO DI GARFAGNANA,AZIENDA USL2 DI LUCCA,VIA DELL'OSPEDALE,3,Ufficio aperto al pubblico,1210,CASTELNUOVO DI GARFAGNANA VIA DELL'OSPEDALE,"(44.1118447, 10.4141881)",44.1118447,10.4141881
47,LU,CASTELNUOVO DI GARFAGNANA,AZIENDA USL2 DI LUCCA,VIA DELL'OSPEDALE,2,Ospedale/Casa di cura,5800,CASTELNUOVO DI GARFAGNANA VIA DELL'OSPEDALE,"(44.1118447, 10.4141881)",44.1118447,10.4141881
48,LU,FABBRICHE DI VALLICO,LINPAPER SRL,GNOCCONI,,IMPIANTO INDUSTRIALE,,FABBRICHE DI VALLICO GNOCCONI,,,
49,LU,FORTE DEI MARMI,COMUNE DI FORTE DEI MARMI  - MAGAZZINO,VIA L. DALLA PICCOLA,1,Magazzino,400,FORTE DEI MARMI VIA L. DALLA PICCOLA,,,
50,LU,GALLICANO,POSTE ITALIANE S.p.A.,VIA PASCOLI,,Ufficio aperto al pubblico,196,GALLICANO VIA PASCOLI,"(44.0733495, 10.4373323)",44.0733495,10.4373323
51,LU,LUCCA,ARMA CARABINIERI,via del Brennero,776,Ufficio aperto al pubblico,0,LUCCA via del Brennero,"(43.8561328, 10.5113713)",43.8561328,10.5113713
52,LU,LUCCA,IMPIANTI SPORTIVI: PALASPORT BOWLING,VIALE CORSICA - S. VICO,25,sala giochi,600,LUCCA VIALE CORSICA - S. VICO,,,
53,LU,LUCCA,ARMA CARABINIERI,via della Formica,229,Ufficio aperto al pubblico,335,LUCCA via della Formica,"(43.8331047, 10.5033776)",43.8331047,10.5033776
54,LU,LUCCA,battaglia marco,VIA ROMANA VECCHIA  ANTRACCOLI,1000,SITO DISMESSO,,LUCCA VIA ROMANA VECCHIA  ANTRACCOLI,,,
55,LU,LUCCA,CASA DI RIPOSO VOLTO SANTO,VIA SAN DONNINO,2,Ospedale/Casa di cura,1436,LUCCA VIA SAN DONNINO,"(43.8416155, 10.5053714)",43.8416155,10.5053714
56,LU,LUCCA,COMUNE DI LUCCA MERCATO ORTOFRUTTICOLO,VIA CADUTI SUL LAVORO,,Esercizio commerciale,1,LUCCA VIA CADUTI SUL LAVORO,"(43.9524235, 10.1921515)",43.9524235,10.1921515
57,LU,LUCCA,FIBROCELLULOSA SPA,via di Fegana,38,IMPIANTO INDUSTRIALE,,LUCCA via di Fegana,"(44.0228451, 10.5485109)",44.0228451,10.5485109
58,LU,MASSAROSA,COMUNE DI MASSAROSA,PIANO DI CONCA,,Scuola,1600,MASSAROSA PIANO DI CONCA,"(43.8949078, 10.2946044)",43.8949078,10.2946044
59,LU,MASSAROSA,COMUNE DI MASSAROSA,VIA FRANCESCA-PIANO DI MOMMIO,,Scuola,1280,MASSAROSA VIA FRANCESCA-PIANO DI MOMMIO,,,
60,LU,MASSAROSA,COMUNE DI MASSAROSA,PIAN DI MOMMIO,,Scuola,500,MASSAROSA PIAN DI MOMMIO,,,
61,LU,MASSAROSA,COMUNE DI MASSAROSA,PIANO DI MOMMIO,,Scuola,400,MASSAROSA PIANO DI MOMMIO,"(43.9099429, 10.2729223)",43.9099429,10.2729223
62,LU,MASSAROSA,COMUNE DI MASSAROSA,PIANO DEL QUERCIONE,,Scuola,430,MASSAROSA PIANO DEL QUERCIONE,"(43.8850765, 10.3162760401)",43.8850765,10.3162760401
63,LU,MASSAROSA,COMUNE DI MASSAROSA,STIAVA,,Scuola,550,MASSAROSA STIAVA,"(43.8979863, 10.3186559)",43.8979863,10.3186559
64,LU,MASSAROSA,COMUNE DI MASSAROSA,CORSANICO,,Scuola,520,MASSAROSA CORSANICO,"(43.9100045, 10.3031885)",43.9100045,10.3031885
65,LU,MASSAROSA,COMUNE DI MASSAROSA,BOZZANO,,Scuola,590,MASSAROSA BOZZANO,"(43.8590256, 10.3460629)",43.8590256,10.3460629
66,LU,MASSAROSA,POSTE ITALIANE S.p.A.,VIA DELL'ARCHELLINO - STIAVA,,Ufficio aperto al pubblico,125,MASSAROSA VIA DELL'ARCHELLINO - STIAVA,,,
67,LU,MASSAROSA,meta immobiliare - ex sias,VIA DEL PALAZZO- STIAVA,,SITO DISMESSO,,MASSAROSA VIA DEL PALAZZO- STIAVA,,,
68,LU,MONTECARLO,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),SAN GIUSEPPE,,impianto riduzione gas metano,65,MONTECARLO SAN GIUSEPPE,"(43.8414351, 10.6596648)",43.8414351,10.6596648
